id,title,description,link,image_link,price,availability,google_product_category,brand,item_group_id,condition,color
12-FAP-6X8,"Nashville — Neon-Lit Storefront at Night — 6×8""","Original fine-art photograph captured in Nashville, Tennessee after dark. A richly colored travel print by Nashville-based photographer Stuart Singleton, shot on a Fujifilm X-T5. Available as a museum-quality giclée print on archival fine-art paper — and as a framed edition — in sizes from 4×6"" up to 24×36"". Printed on demand and shipped worldwide. The perfect statement piece for a gallery wall, living room, office, or as a thoughtful gift for travel and photography lovers.",https://stuartsingleton.com/shop?buy=12,https://zbcdeglxwrappriwpxwt.supabase.co/storage/v1/object/public/photos/photo_1774127526027.jpg,29.00 USD,in stock,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Stuart Singleton,12,new,Color
14-FAP-4X6,"Versailles — at Night in Black & White — 4×6""","Original fine-art photograph captured in Versailles, France after dark. A black-and-white travel print by Nashville-based photographer Stuart Singleton, shot on a Fujifilm X-T5. Available as a museum-quality giclée print on archival fine-art paper — and as a framed edition — in sizes from 4×6"" up to 24×36"". Printed on demand and shipped worldwide. The perfect statement piece for a gallery wall, living room, office, or as a thoughtful gift for travel and photography lovers.",https://stuartsingleton.com/shop?buy=14,https://zbcdeglxwrappriwpxwt.supabase.co/storage/v1/object/public/photos/photo_1774127942933.jpg,29.00 USD,in stock,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Stuart Singleton,14,new,Black & White
14-FAP-6X9,"Versailles — at Night in Black & White — 6×9""","Original fine-art photograph captured in Versailles, France after dark. A black-and-white travel print by Nashville-based photographer Stuart Singleton, shot on a Fujifilm X-T5. Available as a museum-quality giclée print on archival fine-art paper — and as a framed edition — in sizes from 4×6"" up to 24×36"". Printed on demand and shipped worldwide. The perfect statement piece for a gallery wall, living room, office, or as a thoughtful gift for travel and photography lovers.",https://stuartsingleton.com/shop?buy=14,https://zbcdeglxwrappriwpxwt.supabase.co/storage/v1/object/public/photos/photo_1774127942933.jpg,35.00 USD,in stock,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Stuart Singleton,14,new,Black & White
14-FAP-8X12,"Versailles — at Night in Black & White — 8×12""","Original fine-art photograph captured in Versailles, France after dark. A black-and-white travel print by Nashville-based photographer Stuart Singleton, shot on a Fujifilm X-T5. Available as a museum-quality giclée print on archival fine-art paper — and as a framed edition — in sizes from 4×6"" up to 24×36"". Printed on demand and shipped worldwide. The perfect statement piece for a gallery wall, living room, office, or as a thoughtful gift for travel and photography lovers.",https://stuartsingleton.com/shop?buy=14,https://zbcdeglxwrappriwpxwt.supabase.co/storage/v1/object/public/photos/photo_1774127942933.jpg,45.00 USD,in stock,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Stuart Singleton,14,new,Black & White
14-FAP-16X24,"Versailles — at Night in Black & White — 16×24""","Original fine-art photograph captured in Versailles, France after dark. A black-and-white travel print by Nashville-based photographer Stuart Singleton, shot on a Fujifilm X-T5. Available as a museum-quality giclée print on archival fine-art paper — and as a framed edition — in sizes from 4×6"" up to 24×36"". Printed on demand and shipped worldwide. The perfect statement piece for a gallery wall, living room, office, or as a thoughtful gift for travel and photography lovers.",https://stuartsingleton.com/shop?buy=14,https://zbcdeglxwrappriwpxwt.supabase.co/storage/v1/object/public/photos/photo_1774127942933.jpg,79.00 USD,in stock,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Stuart Singleton,14,new,Black & White
14-FAP-24X36,"Versailles — at Night in Black & White — 24×36""","Original fine-art photograph captured in Versailles, France after dark. A black-and-white travel print by Nashville-based photographer Stuart Singleton, shot on a Fujifilm X-T5. Available as a museum-quality giclée print on archival fine-art paper — and as a framed edition — in sizes from 4×6"" up to 24×36"". Printed on demand and shipped worldwide. The perfect statement piece for a gallery wall, living room, office, or as a thoughtful gift for travel and photography lovers.",https://stuartsingleton.com/shop?buy=14,https://zbcdeglxwrappriwpxwt.supabase.co/storage/v1/object/public/photos/photo_1774127942933.jpg,115.00 USD,in stock,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Stuart Singleton,14,new,Black & White
14-CFPM-MOTH-8X12,"Versailles — at Night in Black & White — 8×12"" Framed","Original fine-art photograph captured in Versailles, France after dark. A black-and-white travel print by Nashville-based photographer Stuart Singleton, shot on a Fujifilm X-T5. Available as a museum-quality giclée print on archival fine-art paper — and as a framed edition — in sizes from 4×6"" up to 24×36"". Printed on demand and shipped worldwide. The perfect statement piece for a gallery wall, living room, office, or as a thoughtful gift for travel and photography lovers.",https://stuartsingleton.com/shop?buy=14,https://zbcdeglxwrappriwpxwt.supabase.co/storage/v1/object/public/photos/photo_1774127942933.jpg,119.00 USD,in stock,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Stuart Singleton,14,new,Black & White
14-CFPM-MOTH-16X24,"Versailles — at Night in Black & White — 16×24"" Framed","Original fine-art photograph captured in Versailles, France after dark. A black-and-white travel print by Nashville-based photographer Stuart Singleton, shot on a Fujifilm X-T5. Available as a museum-quality giclée print on archival fine-art paper — and as a framed edition — in sizes from 4×6"" up to 24×36"". Printed on demand and shipped worldwide. The perfect statement piece for a gallery wall, living room, office, or as a thoughtful gift for travel and photography lovers.",https://stuartsingleton.com/shop?buy=14,https://zbcdeglxwrappriwpxwt.supabase.co/storage/v1/object/public/photos/photo_1774127942933.jpg,245.00 USD,in stock,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Stuart Singleton,14,new,Black & White
15-FAP-4X6,"San Juan — Architecture — 4×6""","Original fine-art photograph captured in San Juan, Puerto Rico. A richly colored travel print by Nashville-based photographer Stuart Singleton, shot on a Fujifilm X-T5. Available as a museum-quality giclée print on archival fine-art paper — and as a framed edition — in sizes from 4×6"" up to 24×36"". Printed on demand and shipped worldwide. The perfect statement piece for a gallery wall, living room, office, or as a thoughtful gift for travel and photography lovers.",https://stuartsingleton.com/shop?buy=15,https://zbcdeglxwrappriwpxwt.supabase.co/storage/v1/object/public/photos/photo_1774127997457.jpg,29.00 USD,in stock,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Stuart Singleton,15,new,Color
15-FAP-6X9,"San Juan — Architecture — 6×9""","Original fine-art photograph captured in San Juan, Puerto Rico. A richly colored travel print by Nashville-based photographer Stuart Singleton, shot on a Fujifilm X-T5. Available as a museum-quality giclée print on archival fine-art paper — and as a framed edition — in sizes from 4×6"" up to 24×36"". Printed on demand and shipped worldwide. The perfect statement piece for a gallery wall, living room, office, or as a thoughtful gift for travel and photography lovers.",https://stuartsingleton.com/shop?buy=15,https://zbcdeglxwrappriwpxwt.supabase.co/storage/v1/object/public/photos/photo_1774127997457.jpg,35.00 USD,in stock,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Stuart Singleton,15,new,Color
